age_group,n,mean_change,median_change,sd_change
0–12 months,162,4.044870025088962,3.5714285714285747,7.148171168744826
12–24 months,193,1.8341268407066398,1.5503875968992191,7.073034103836091
24–59 months,135,0.5971868425370149,0,8.620454779831153
NA,23,2.711642971629525,-1.6393442622950762,12.311117416155204
